cam1_X,cam1_Y,cam2_X,cam2_Y
497.324264,604.945846,535.253401,631.495105
517.513578,605.034044,555.577361,630.880729
538.328464,605.701408,576.559939,631.409616
558.524898,605.791223,598.113708,630.771320
579.314132,605.878756,619.095263,630.739633
600.104112,606.576873,639.442347,630.704847
620.283416,606.644651,660.376812,630.047490
640.470142,606.737881,681.339599,630.660782
661.234894,606.833639,702.370423,630.606450
681.401202,607.508946,723.911362,630.538747
702.154490,607.590772,743.577725,630.563991
722.317442,607.676697,765.254246,630.514575
742.471806,607.768720,786.268424,630.453160
762.633687,607.853422,807.201178,629.772642
783.370332,608.536826,828.232225,629.761716
803.511528,608.628238,849.255058,629.084976
824.241728,608.701959,870.189189,629.688197
844.371163,608.787207,890.564330,629.659287
864.492389,608.867002,911.611381,628.986868
885.219065,609.575488,932.617427,628.945784
375.108167,623.850189,409.250393,651.773073
395.357361,623.938290,430.209616,651.034342
416.216700,624.013651,450.453384,652.314485
436.436359,624.680736,472.053028,651.659852
457.267457,624.759025,492.377752,651.654693
477.497420,624.852719,513.959117,651.592862
498.298445,624.933694,533.580585,651.554302
519.107504,625.609410,555.235798,650.906090
539.332245,625.692187,575.516253,650.881922
559.533133,625.781074,596.497709,651.517057
580.316723,625.871380,617.442173,650.857380
601.113657,626.538693,638.416837,651.448518
621.303418,626.033916,659.390118,650.742449
641.472796,626.708090,680.305239,650.757783
662.241066,626.795582,701.294646,650.696747
682.423032,626.871438,722.279540,650.676355
703.197021,627.558031,743.269037,650.624937
723.352116,627.638925,764.273491,650.663484
743.514872,627.730744,785.279682,650.534277
764.254277,627.812079,806.299950,649.891828
784.408574,627.880811,827.236699,649.912423
804.542905,628.570312,847.630340,650.492714
825.308195,628.654611,868.600098,650.455655
845.435569,628.742531,890.297579,649.776271
865.547829,628.809579,911.987266,649.744714
886.274984,629.506367,932.304581,649.717227
376.062762,643.869078,408.257469,671.826516
396.330264,643.937417,429.186820,671.790523
417.166865,644.608845,450.105821,672.430989
438.005935,644.691111,470.404324,672.381952
458.258396,644.769788,491.305866,671.733240
479.072368,644.856447,511.662311,672.358827
499.288790,645.518335,533.211298,671.701862
520.104188,645.607984,553.522925,671.657825
540.324876,645.695396,575.151304,671.629906
561.131041,645.759281,595.469393,671.617125
581.319365,645.846044,615.796956,671.535828
602.125245,646.544077,637.425516,671.529806
622.321651,645.994418,658.376819,671.545283
642.498961,646.684108,679.333250,670.807342
663.279353,646.768932,700.365928,670.844792
683.454813,646.824501,721.298835,670.759805
704.235593,647.522701,742.321924,670.750337
724.374449,647.005577,763.318142,670.760361
744.544371,647.695427,784.977362,670.675477
765.302803,647.764759,805.305400,669.996009
786.091167,647.851966,825.681852,670.623194
805.594778,647.920389,847.309282,670.593494
826.350920,648.617016,868.334096,670.559595
846.493502,648.690622,889.352477,669.872997
867.232398,648.767219,910.327588,670.525250
887.333419,648.838564,931.329474,670.487773
377.049240,663.882820,407.199286,692.554762
397.304920,663.963165,428.138749,692.529602
418.146806,664.036239,448.436706,691.856996
438.398501,664.702340,470.016599,691.842245
459.234675,664.780189,490.355917,692.470192
479.474541,664.851969,511.301877,691.772324
500.285696,664.943384,532.181124,692.401425
521.107688,665.618327,552.511526,691.753696
541.323499,665.700000,574.152410,692.357371
562.131623,665.768129,595.105561,691.714781
582.337420,665.845833,615.405585,691.625595
602.532795,665.926991,636.405994,690.982622
623.328028,666.010223,657.424867,690.944599
644.107392,666.672267,678.342381,691.583007
664.300544,666.770645,699.390970,691.571825
685.087366,666.828494,720.385976,690.892639
705.259698,666.897281,741.329001,690.809259
725.422306,667.592832,762.952907,690.829587
746.191173,667.680559,783.342249,691.435623
766.355195,667.742670,804.329928,691.411164
786.500128,667.815493,825.332600,690.784048
806.654930,667.892078,846.347412,690.683105
827.405827,668.582290,868.006518,690.665299
848.154278,668.649241,887.738800,691.301604
868.281621,668.726837,910.034862,690.629537
888.407111,668.809270,930.436296,690.622592
378.014569,683.920680,405.524615,711.959293
398.304440,683.980058,426.474067,712.624781
419.127730,684.637595,448.079744,712.580686
